Name,Size,Price,Currency,Brand,Product Type,Frame Type,Frame Shape,Frame Size,Collection,Coupon Code,Rating,Weight Group,Material,Warranty,Gender,Purchase Count,Product Quantity
Transparent Full Rim Rectangle,Medium,1700,₹,Lenskart Air,Eyeglasses,Full Rim,Rectangle,Medium,Air Essentials,,4.699999809265137,Light,TR90 & Acetate,1 Year Manufacturer Warranty,Unisex,82837,3894
Ocean Blue Full Rim Wayfarer,Medium,1700,₹,Lenskart Hustlr,Eyeglasses,Full Rim,Wayfarer,Medium,Lenskart HUSTLR,,0,Light,TR90,1 Year Manufacturer Warranty,Unisex,8096,53
Crystal Full Rim Wayfarer,Medium,1700,₹,Lenskart Hustlr,Eyeglasses,Full Rim,Wayfarer,Medium,Lenskart HUSTLR,,0,Average,Acetate,1 Year Manufacturer Warranty,Unisex,6187,2357
Flamingo Full Rim Wayfarer,Medium,1700,₹,Lenskart Hustlr,Eyeglasses,Full Rim,Wayfarer,Medium,Lenskart HUSTLR,,0,Light,TR90,1 Year Manufacturer Warranty,Unisex,4033,900
Black Silver Full Rim Geometric,Medium,1700,₹,Vincent Chase,Eyeglasses,Full Rim,Geometric,Medium,SLEEK STEEL,,4.75,Average,,1 Year Manufacturer Warranty,Unisex,11088,1879
Blue Full Rim Rectangle,Medium,1700,₹,Lenskart Air Online,Eyeglasses,Full Rim,Rectangle,Medium,Air Essentials,,0,Light,TR90,1 Year Manufacturer Warranty,Unisex,2996,0
Transparent Blue Full Rim Rectangle,Medium,1700,₹,Vincent Chase,Eyeglasses,Full Rim,Rectangle,Medium,Classic Acetate,,4.5,Average,Cellulose Acetate,1 Year Manufacturer Warranty,Unisex,64730,8978
Navy Full Rim Wayfarer,Medium,1700,₹,Lenskart Hustlr,Eyeglasses,Full Rim,Wayfarer,Medium,Air Essentials,,4.599999904632568,Light,TR90 (Flexible Light-Weight),1 Year Manufacturer Warranty,Unisex,26945,10666
Olive Full Rim Wayfarer,Medium,1700,₹,Lenskart Hustlr,Eyeglasses,Full Rim,Wayfarer,Medium,Lenskart HUSTLR,,5,Average,Acetate,1 Year Manufacturer Warranty,Unisex,3946,880
Light Green Transparent Full Rim Geometric,Medium,1700,₹,Vincent Chase,Eyeglasses,Full Rim,Geometric,Medium,Classic Acetate,,0,Average,Acetate,1 Year Manufacturer Warranty,Unisex,1783,129
